# Rime user dictionary
#@/db_name	young_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	3923
#@/user_id	rime-android
a 	啊	c=2 d=0.636468 t=3923
duan 	断	c=2 d=1.47988 t=3923
duan 	段	c=1 d=0.000614066 t=3923
duan 	短	c=1 d=0.0199586 t=3923
duan 	端	c=1 d=1.58623e-06 t=3923
duan biao shi 	短标识	c=1 d=0.00416933 t=3923
duan lao ban 	段老板	c=1 d=0.00615802 t=3923
duan lian yi cun zai 	短链已存在	c=1 d=0.0175097 t=3923
duan shi pin 	短视频	c=1 d=0.118245 t=3923
duan yan 	断言	c=1 d=1.41637e-07 t=3923
duan zi 	段子	c=0 d=0.00323869 t=3923
dui 	对	c=8 d=1.60177 t=3923
dui 	怼	c=0 d=0.00136366 t=3923
